year,code,sex,population,deployment,tagID,divenum,maxdep,durwho,bzsounds,kindet,sc,NLmax
2011,2011_35,M,NRKW,oo11_245a,245,504,15.77181747,161.4,0,0,0,95.59940705
2011,2011_35,M,NRKW,oo11_245a,245,506,4.250739926,48.4,0,0,0,94.64838259
2011,2011_35,M,NRKW,oo11_245a,245,508,4.153557188,81.4,0,0,0,99.0507175
2011,2011_35,M,NRKW,oo11_245a,245,509,5.617196329,75.4,0,0,0,97.05095846
2011,2011_35,M,NRKW,oo11_245a,245,513,4.090862886,51.4,0,0,0,97.43812907
2011,2011_35,M,NRKW,oo11_245a,245,515,7.288041672,147.4,0,0,0,99.67428276
2011,2011_35,M,NRKW,oo11_245a,245,516,3.585829434,39.2,0,0,0,97.42590698
2011,2011_35,M,NRKW,oo11_245a,245,517,4.809426669,52,0,0,0,96.70817115
2011,2011_35,M,NRKW,oo11_245a,245,520,12.78039806,188.8,0,0,0,99.0374473
2011,2011_35,M,NRKW,oo11_245a,245,521,2.713736378,30.8,0,0,0,95.76848605
2011,2011_35,M,NRKW,oo11_245a,245,525,10.45220905,193,0,0,0,96.40351084
2011,2011_35,M,NRKW,oo11_245a,245,526,3.077480413,25.6,0,0,0,95.51543742
